subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
39,2,3,1,2,19,2,7,4,7,2,7,7,4,3,7,6,2,2,5,7,5,7,5,7,6,5,7,3,4,7,7,7,7,5,5,6,7,7,6,6,7,3,7,7,6,7,6,3,5,4,7,6
40,1,7,7,7,18,2,3,3,7,4,7,7,1,4,7,7,1,7,7,6,4,7,7,7,7,5,5,5,5,7,7,7,4,6,7,5,7,7,6,7,7,7,7,7,7,7,7,6,5,4,7,7
41,2,7,7,7,20,2,1,4,4,5,3,5,7,4,6,6,6,5,5,7,6,6,5,5,5,7,7,4,6,3,7,6,6,7,7,5,5,5,6,6,5,6,6,4,5,6,5,5,1,2,6,6
42,1,6,4,5,20,2,1,7,2,6,7,4,7,6,6,7,1,2,5,6,4,6,5,7,5,4,7,5,3,6,7,6,7,4,7,3,7,5,3,6,7,5,7,4,7,7,7,2,4,4,6,3
43,2,9,3,6,32,1,2,4,5,2,5,6,6,6,7,7,5,7,3,5,7,4,5,7,7,7,7,5,6,7,7,7,4,7,7,1,7,5,7,7,7,7,7,7,7,5,7,5,2,4,5,1
44,1,2,2,2,20,2,1,6,4,3,7,6,7,7,4,7,3,5,7,7,6,5,7,5,3,5,7,4,6,6,7,7,7,3,5,5,7,7,4,7,6,7,7,5,6,7,7,6,7,5,6,5
45,1,7,7,7,18,2,4,6,7,7,7,6,5,6,6,6,2,4,6,7,5,6,6,5,5,5,5,5,6,6,6,7,6,5,5,4,6,7,5,5,6,4,6,5,5,6,6,4,6,6,6,5
46,1,7,1,4,18,2,7,1,7,3,5,5,1,7,7,1,4,4,1,2,7,4,6,7,7,3,7,5,4,7,7,7,7,5,7,4,4,7,7,7,1,7,7,7,7,7,7,4,3,7,4,3
47,2,6,4,5,19,1,5,4,5,2,5,5,4,5,7,4,2,7,4,3,6,6,4,4,5,3,7,5,4,6,7,7,4,2,5,7,7,7,4,6,6,4,6,3,7,7,4,4,4,7,3,4
48,1,1,4,4,22,2,1,7,6,7,7,2,7,6,1,6,1,1,6,7,7,7,3,7,4,3,1,4,4,6,7,7,7,3,7,3,7,6,1,4,7,1,7,7,7,7,6,7,1,7,7,2
49,2,9,7,9,22,2,4,5,7,4,3,7,6,7,7,7,6,6,7,7,7,7,5,7,7,4,7,6,7,6,7,7,5,7,7,4,7,5,7,7,5,5,7,4,5,5,7,3,1,5,7,4
50,2,8,7,9,19,2,2,6,6,6,4,5,7,4,7,7,4,6,3,6,4,6,6,6,4,4,7,4,3,7,7,7,7,4,7,4,6,5,4,6,7,6,7,6,4,7,7,6,6,5,6,4
51,2,6,4,6,18,2,5,6,3,3,6,5,5,6,5,7,5,7,5,5,7,6,3,4,5,7,6,3,3,6,5,7,6,5,5,6,6,4,7,6,3,3,7,4,3,5,6,3,2,6,6,3
52,2,5,5,5,18,2,6,4,3,7,4,2,6,6,5,7,4,5,4,4,6,6,6,4,5,6,6,3,4,5,7,4,6,4,5,3,6,5,4,5,7,5,6,2,5,7,6,2,2,4,4,5
53,1,5,1,2,18,2,7,3,7,4,6,4,1,4,7,2,1,1,1,3,7,4,1,7,4,4,7,4,4,4,7,7,7,4,7,7,5,4,5,4,1,4,6,7,7,7,7,3,4,7,3,5
